iter	Passed	Remaining
0	139	139721
1	141	70581
2	142	47232
3	142	35552
4	143	28549
5	144	23874
6	144	20539
7	145	18043
8	146	16128
9	153	15221
10	154	13893
11	155	12786
12	155	11836
13	156	11024
14	157	10319
15	157	9714
16	158	9186
17	159	8711
18	160	8285
19	161	7896
20	161	7546
21	162	7223
22	163	6929
23	163	6664
24	164	6419
25	165	6190
26	166	5991
27	166	5794
28	167	5607
29	168	5434
30	168	5271
31	169	5120
32	169	4981
33	170	4853
34	172	4743
35	172	4628
36	173	4521
37	174	4413
38	174	4311
39	175	4214
40	176	4125
41	177	4042
42	177	3961
43	178	3882
44	179	3807
45	180	3734
46	180	3663
47	181	3595
48	181	3532
49	183	3477
50	184	3424
51	184	3367
52	185	3313
53	186	3259
54	186	3208
55	187	3159
56	188	3112
57	188	3067
58	189	3026
59	190	2984
60	191	2941
61	191	2901
62	192	2862
63	193	2823
64	193	2785
65	194	2750
66	195	2718
67	196	2690
68	196	2658
69	197	2626
70	198	2595
71	199	2564
72	199	2534
73	200	2505
74	201	2481
75	202	2458
76	202	2432
77	203	2409
78	204	2385
79	205	2362
80	206	2338
81	206	2316
82	207	2291
83	208	2271
84	208	2249
85	209	2228
86	210	2208
87	211	2187
88	211	2166
89	212	2147
90	213	2132
91	214	2116
92	215	2105
93	216	2090
94	217	2075
95	218	2059
96	219	2044
97	220	2030
98	221	2014
99	221	1997
100	222	1980
101	223	1964
102	223	1947
103	224	1931
104	224	1915
105	225	1899
106	225	1885
107	226	1871
108	227	1858
109	227	1844
110	228	1830
111	229	1815
112	229	1802
113	230	1788
114	230	1775
115	231	1762
116	231	1748
117	232	1738
118	233	1727
119	233	1715
120	234	1703
121	234	1691
122	235	1679
123	236	1667
124	236	1656
125	237	1645
126	237	1633
127	238	1626
128	239	1616
129	240	1608
130	240	1598
131	241	1588
132	242	1578
133	242	1568
134	243	1558
135	243	1549
136	244	1540
137	245	1531
138	245	1522
139	246	1514
140	247	1504
141	247	1494
142	248	1486
143	248	1478
144	249	1469
145	249	1461
146	250	1453
147	251	1445
148	251	1437
149	252	1430
150	253	1422
151	253	1415
152	254	1407
153	254	1399
154	255	1392
155	256	1385
